Count,Site_Visit_ID,Project_Name,Entity_Type,Planned_Field_Work_or_Quarter,MA_Activity,Province_Name_[Auto-Filled],District_Name_[Auto-Filled],Province_verification_based_on_district,Entity.Type,Date.of.Sampling.Confirmation,Planned.Field.Work.Period.(Category).-.Duplicate,Date.of.SV.Infrastructure.Monitoring,Status.of.SV.Infrastructure.Monitoring,Date.of.SV.Soft.Component.Monitoring,Status.of.SV.Soft.Component.Monitoring,Status.of.Physical.and.Social.SV,Type.of.reporting
10273,TAPIPM45418PM282,TAPI,Energy Sector,7/6/2024,Site Visit,Nuristan,Wama,Nuristan,School,5/4/2024,5/8/2024,,Not applicable,,Cancelled,Cancelled,Regular
10509,TAPIPM45419PM283,TAPI,Energy Sector,7/6/2024,Site Visit,Sar-e-Pul,Kohestanat,Sar-e-Pul,School,5/5/2024,5/9/2024,,Not applicable,,Completed,Completed,Regular
10627,TAPIPM45420PM284,TAPI,Energy Sector,7/6/2024,Site Visit,Uruzgan,Chora,Uruzgan,School,5/6/2024,5/10/2024,,Not applicable,,Completed,Completed,Regular
7302,TAPIPM45421PM285,TAPI,Energy Sector,7/6/2024,Site Visit,Laghman,Mehtarlam,Laghman,School,5/7/2024,5/11/2024,,Not Applicable,3/7/2024,Completed,Completed,Regular
4553,TAPIPM45422PM286,TAPI,Energy Sector,7/6/2024,Site Visit,Panjsher,Khenj,Panjsher,School,5/8/2024,5/12/2024,,Not applicable,,Completed,Completed,Regular
6882,TAPIPM45423PM287,TAPI,Energy Sector,7/6/2024,Site Visit,Farah,Khak-e-Safed,Farah,School,5/9/2024,5/13/2024,,Not Applicable,3/3/2024,Completed,Completed,Regular
10495,TAPIPM45424PM288,TAPI,Energy Sector,7/6/2024,Site Visit,Sar-e-Pul,Balkhab,Sar-e-Pul,School,5/10/2024,5/14/2024,,Not applicable,,Completed,Completed,Regular
4924,TAPIPM45425PM289,TAPI,Energy Sector,7/6/2024,Site Visit,Kunduz,Ali Abad,Kunduz,School,5/11/2024,5/15/2024,,Not applicable,,Completed,Completed,Regular
8336,TAPIPM45426PM290,TAPI,Energy Sector,7/6/2024,Site Visit,Jawzjan,Darzab,Jawzjan,Village,5/12/2024,5/16/2024,,Not Applicable,,Completed,Completed,Regular
3865,TAPIPM45427PM291,TAPI,Energy Sector,7/6/2024,Site Visit,Nuristan,Nurgaram,Nuristan,CBE,5/13/2024,5/17/2024,,Not applicable,,Completed,Completed,Regular
4091,TAPIPM45428PM292,TAPI,Energy Sector,7/6/2024,Site Visit,Ghazni,Giro,Ghazni,DISTRICT,5/14/2024,5/18/2024,,Not applicable,,Completed,Completed,Regular
11374,TAPIPM45429PM293,TAPI,Energy Sector,7/6/2024,Site Visit,Daykundi,,,CBE,5/15/2024,5/19/2024,,Not applicable,,Completed,Completed,Regular
4177,TAPIPM45430PM294,TAPI,Energy Sector,7/6/2024,Site Visit,Parwan,Bagram,Parwan,DISTRICT,5/16/2024,5/20/2024,,Not applicable,,Completed,Completed,Regular
10584,TAPIPM45431PM295,TAPI,Energy Sector,7/6/2024,Site Visit,Takhar,Kalafgan,Takhar,School,5/17/2024,5/21/2024,,Not applicable,,Cancelled,Cancelled,Regular
6961,TAPIPM45432PM296,TAPI,Energy Sector,7/6/2024,Site Visit,Ghor,Feroz Koh,Ghor,School,5/18/2024,5/22/2024,,Not Applicable,3/14/2024,Completed,Completed,Regular
9037,TAPIPM45433PM297,TAPI,Energy Sector,7/6/2024,Site Visit,Balkh,Shortepa,Balkh,School,5/19/2024,5/23/2024,,Not applicable,,Cancelled,Cancelled,Regular
3680,TAPIPM45434PM298,TAPI,Energy Sector,7/6/2024,Site Visit,Kabul,Chahar Asyab,Kabul,CBE,5/20/2024,5/24/2024,,Not applicable,,Completed,Completed,Regular
10419,TAPIPM45435PM299,TAPI,Energy Sector,7/6/2024,Site Visit,Parwan,Ghorband,Parwan,School,5/21/2024,5/25/2024,,Not applicable,,Completed,Completed,Regular
5262,TAPIPM45436PM300,TAPI,Energy Sector,7/6/2024,Site Visit,Hilmand,Lashkargah,Hilmand,School,5/22/2024,5/26/2024,,Not applicable,,Completed,Completed,Regular
4801,TAPIPM45437PM301,TAPI,Energy Sector,7/6/2024,Site Visit,Badakhshan,Fayzabad,Badakhshan,School,5/23/2024,5/27/2024,,Not applicable,,Completed,Completed,Regular
8763,TAPIPM45438PM302,TAPI,Energy Sector,7/6/2024,Site Visit,Badakhshan,Kohistan,Badakhshan,School,5/24/2024,5/28/2024,,Not applicable,,Cancelled,Cancelled,Regular
9233,TAPIPM45439PM303,TAPI,Energy Sector,7/6/2024,Site Visit,Faryab,Maymana,Faryab,School,5/25/2024,5/29/2024,,Not applicable,,Completed,Completed,Regular
3881,TAPIPM45440PM304,TAPI,Energy Sector,7/6/2024,Site Visit,Nuristan,Nurgaram,Nuristan,CBE,5/26/2024,5/30/2024,,Not applicable,,Completed,Completed,Regular
7034,TAPIPM45441PM305,TAPI,Energy Sector,9/29/2024,Site Visit,Hilmand,Lashkargah,Hilmand,School,5/27/2024,5/31/2024,,Not Applicable,3/2/2024,Completed,Completed,Regular
7442,TAPIPM45442PM306,TAPI,Energy Sector,9/29/2024,Site Visit,Nangarhar,Goshta,Nangarhar,School,5/28/2024,6/1/2024,,Not Applicable,3/17/2024,Completed,Completed,Regular
3871,TAPIPM45443PM307,TAPI,Energy Sector,9/29/2024,Site Visit,Nuristan,Parun,Nuristan,CBE,5/29/2024,6/2/2024,,Not applicable,,Completed,Completed,Regular
7565,TAPIPM45444PM308,TAPI,Energy Sector,9/29/2024,Site Visit,Nangarhar,Surkh Rod,Nangarhar,School,5/30/2024,6/3/2024,,Not Applicable,3/15/2024,Completed,Completed,Regular
7398,TAPIPM45445PM309,TAPI,Energy Sector,9/29/2024,Site Visit,Nangarhar,Chaparhar,Nangarhar,School,5/31/2024,6/4/2024,,Not Applicable,,Cancelled,Cancelled,Regular
5002,TAPIPM45446PM310,TAPI,Energy Sector,9/29/2024,Site Visit,Balkh,Dawlat Abad,Balkh,School,6/1/2024,6/5/2024,,Not applicable,,Completed,Completed,Regular
7058,TAPIPM45447PM311,TAPI,Energy Sector,9/29/2024,Site Visit,Hilmand,Nad-e-Ali,Hilmand,School,6/2/2024,6/6/2024,,Not Applicable,3/16/2024,Completed,Completed,Regular
8544,TAPIPM45448PM312,TAPI,Energy Sector,9/29/2024,Site Visit,Balkh,Kaldar,Balkh,CBE,6/3/2024,6/7/2024,,Not applicable,,Completed,Completed,Regular
8589,TAPIPM45449PM313,TAPI,Energy Sector,9/29/2024,Site Visit,Nuristan,Parun,Nuristan,CBE,6/4/2024,6/8/2024,,Not applicable,,Cancelled,Cancelled,Regular
4844,TAPIPM45450PM314,TAPI,Energy Sector,9/29/2024,Site Visit,Badakhshan,Yamgan,Badakhshan,School,6/5/2024,6/9/2024,,Not applicable,,Completed,Completed,Regular
10118,TAPIPM45451PM315,TAPI,Energy Sector,9/29/2024,Site Visit,Maidan Wardak,Markaz-e-Behsud,Maidan Wardak,School,6/6/2024,6/10/2024,,Not applicable,,Completed,Completed,Regular
7793,TAPIPM45452PM316,TAPI,Energy Sector,9/29/2024,Site Visit,Kunar,Nurgal,Kunar,School,6/7/2024,6/11/2024,,Not applicable,3/17/2024,Completed,Completed,Regular
6864,TAPIPM45453PM317,TAPI,Energy Sector,9/29/2024,Site Visit,Farah,Farah,Farah,School,6/8/2024,6/12/2024,,Not Applicable,,Cancelled,Cancelled,Regular
8409,TAPIPM45454PM318,TAPI,Energy Sector,9/29/2024,Site Visit,Jawzjan,Shiberghan,Jawzjan,Village,6/9/2024,6/13/2024,,Not Applicable,,Completed,Completed,Regular
6903,TAPIPM45455PM319,TAPI,Energy Sector,9/29/2024,Site Visit,Farah,Qala-e-Kah,Farah,School,6/10/2024,6/14/2024,,Not Applicable,,Cancelled,Cancelled,Regular
3603,TAPIPM45456PM320,TAPI,Energy Sector,9/29/2024,Site Visit,Ghazni,Gelan,Ghazni,CBE,6/11/2024,6/15/2024,,Not applicable,,Cancelled,Cancelled,Regular
7764,TAPIPM45457PM321,TAPI,Energy Sector,9/29/2024,Site Visit,Kunar,Chawkay,Kunar,School,6/12/2024,6/16/2024,,Not applicable,,Cancelled,Cancelled,Regular
5179,TAPIPM45458PM322,TAPI,Energy Sector,9/29/2024,Site Visit,Zabul,Shah Joi,Zabul,School,6/13/2024,6/17/2024,,Not applicable,,Completed,Completed,Regular
4391,TAPIPM45459PM323,TAPI,Energy Sector,9/29/2024,Site Visit,Kabul,Kabul,Kabul,School,6/14/2024,6/18/2024,,Not applicable,,Completed,Completed,Regular
10270,TAPIPM45460PM324,TAPI,Energy Sector,9/29/2024,Site Visit,Nuristan,Parun,Nuristan,School,6/15/2024,6/19/2024,,Not applicable,,Completed,Completed,Regular
7522,TAPIPM45461PM325,TAPI,Energy Sector,9/29/2024,Site Visit,Nangarhar,Nazyan,Nangarhar,School,6/16/2024,6/20/2024,,Not Applicable,,Cancelled,Cancelled,Regular
3843,TAPIPM45462PM326,TAPI,Energy Sector,9/29/2024,Site Visit,Nangarhar,Muhmand Dara,Nangarhar,CBE,6/17/2024,6/21/2024,,Not applicable,,Completed,Completed,Regular
10619,TAPIPM45463PM327,TAPI,Energy Sector,9/29/2024,Site Visit,Takhar,Warsaj,Takhar,School,6/18/2024,6/22/2024,,Not applicable,,Cancelled,Cancelled,Regular
9526,TAPIPM45464PM328,TAPI,Energy Sector,9/29/2024,Site Visit,Hirat,Hirat,Hirat,School,6/19/2024,6/23/2024,,Not applicable,,Completed,Completed,Regular
9665,TAPIPM45465PM329,TAPI,Energy Sector,9/29/2024,Site Visit,Kabul,Bagrami,Kabul,School,6/20/2024,6/24/2024,,Not applicable,,Completed,Completed,Regular
4396,TAPIPM45466PM330,TAPI,Energy Sector,9/29/2024,Site Visit,Kabul,Kabul,Kabul,School,6/21/2024,6/25/2024,,Not applicable,,Completed,Completed,Regular
9417,TAPIPM45467PM331,TAPI,Energy Sector,9/29/2024,Site Visit,Ghor,Pasaband,Ghor,School,6/22/2024,6/26/2024,,Not applicable,,Cancelled,Cancelled,Regular
5409,TAPIPM45468PM332,TAPI,Energy Sector,9/29/2024,Site Visit,Farah,Farah,Farah,School,6/23/2024,6/27/2024,,Not applicable,,Completed,Completed,Regular
7656,TAPIPM45469PM333,TAPI,Energy Sector,10/26/2024,Site Visit,Nangarhar,Muhmand Dara,Nangarhar,CBE,6/24/2024,6/28/2024,,Not Applicable,,Completed,Completed,Regular
7262,TAPIPM45470PM334,TAPI,Energy Sector,10/26/2024,Site Visit,Laghman,Alingar,Laghman,School,6/25/2024,6/29/2024,,Not Applicable,3/3/2024,Completed,Completed,Regular
7689,TAPIPM45471PM335,TAPI,Energy Sector,10/26/2024,Site Visit,Nangarhar,Shinwar,Nangarhar,CBE,6/26/2024,6/30/2024,,Not Applicable,,Completed,Completed,Regular
3849,TAPIPM45472PM336,TAPI,Energy Sector,10/26/2024,Site Visit,Nangarhar,Pachir Wa Agam,Nangarhar,CBE,6/27/2024,7/1/2024,,Not applicable,,Completed,Completed,Regular
3789,TAPIPM45473PM337,TAPI,Energy Sector,10/26/2024,Site Visit,Logar,Charkh,Logar,CBE,6/28/2024,7/2/2024,,Not applicable,,Completed,Completed,Regular
6849,TAPIPM45474PM338,TAPI,Energy Sector,10/26/2024,Site Visit,Farah,Farah,Farah,School,6/29/2024,7/3/2024,,Not Applicable,,Cancelled,Cancelled,Regular
7471,TAPIPM45475PM339,TAPI,Energy Sector,10/26/2024,Site Visit,Nangarhar,Kot,Nangarhar,School,6/30/2024,7/4/2024,,Not Applicable,3/20/2024,Completed,Completed,Regular
8894,TAPIPM45476PM340,TAPI,Energy Sector,11/3/2024,Site Visit,Baghlan,Baghlan-e-Jadid,Baghlan,School,7/1/2024,7/5/2024,,Not applicable,,Completed,Completed,Regular
10233,TAPIPM45477PM341,TAPI,Energy Sector,11/3/2024,Site Visit,Nangarhar,Shinwar,Nangarhar,School,7/2/2024,7/6/2024,,Not applicable,,Completed,Completed,Regular
10219,TAPIPM45478PM342,TAPI,Energy Sector,11/3/2024,Site Visit,Nangarhar,Pachir Wa Agam,Nangarhar,School,7/3/2024,7/7/2024,,Not applicable,,Completed,Completed,Regular
5380,TAPIPM45479PM343,TAPI,Energy Sector,11/3/2024,Site Visit,Hirat,Kushk-e-Kuhna,Hirat,School,7/4/2024,7/8/2024,,Not applicable,,Completed,Completed,Regular
10552,TAPIPM45480PM344,TAPI,Energy Sector,11/3/2024,Site Visit,Takhar,Bangi,Takhar,School,7/5/2024,7/9/2024,,Not applicable,,Completed,Completed,Regular
10160,TAPIPM45481PM345,TAPI,Energy Sector,11/3/2024,Site Visit,Nangarhar,Behsud,Nangarhar,School,7/6/2024,7/10/2024,,Not applicable,,Completed,Completed,Regular
4127,TAPIPM45482PM346,TAPI,Energy Sector,11/3/2024,Site Visit,Maidan Wardak,Daymirdad,Maidan Wardak,DISTRICT,7/7/2024,7/11/2024,,Not applicable,,Completed,Completed,Regular
8558,TAPIPM45483PM347,TAPI,Energy Sector,11/3/2024,Site Visit,Farah,Qala-e-Kah,Farah,CBE,7/8/2024,7/12/2024,,Not applicable,,Completed,Completed,Regular
10581,TAPIPM45484PM348,TAPI,Energy Sector,11/3/2024,Site Visit,Takhar,Farkhar,Takhar,School,7/9/2024,7/13/2024,,Not applicable,,Completed,Completed,Regular
8897,TAPIPM45485PM349,TAPI,Energy Sector,11/3/2024,Site Visit,Baghlan,Burka,Baghlan,School,7/10/2024,7/14/2024,,Not applicable,,Cancelled,Cancelled,Regular
8653,TAPIPM45486PM350,TAPI,Energy Sector,11/3/2024,Site Visit,Badakhshan,Shuhada,Badakhshan,CBE,7/11/2024,7/15/2024,,Not applicable,,Cancelled,Cancelled,Regular
3582,TAPIPM45487PM351,TAPI,Energy Sector,11/3/2024,Site Visit,Ghazni,Waghaz,Ghazni,CBE,7/12/2024,7/16/2024,,Not applicable,,Completed,Completed,Regular
8814,TAPIPM45488PM352,TAPI,Energy Sector,11/3/2024,Site Visit,Badakhshan,Zebak,Badakhshan,School,7/13/2024,7/17/2024,,Not applicable,,Completed,Completed,Regular
7799,TAPIPM45489PM353,TAPI,Energy Sector,11/3/2024,Site Visit,Kunar,Sar Kani,Kunar,School,7/14/2024,7/18/2024,,Not applicable,,Cancelled,Cancelled,Regular
4443,TAPIPM45490PM354,TAPI,Energy Sector,11/3/2024,Site Visit,Parwan,Shinwari,Parwan,School,7/15/2024,7/19/2024,,Not applicable,,Completed,Completed,Regular
4852,TAPIPM45491PM355,TAPI,Energy Sector,11/3/2024,Site Visit,Badakhshan,,,School,7/16/2024,7/20/2024,,Not applicable,,Completed,Completed,Regular
5191,TAPIPM45492PM356,TAPI,Energy Sector,11/3/2024,Site Visit,Jawzjan,Shiberghan,Jawzjan,School,7/17/2024,7/21/2024,,Not applicable,,Completed,Completed,Regular
4997,TAPIPM45493PM357,TAPI,Energy Sector,11/3/2024,Site Visit,Balkh,Sholgareh,Balkh,School,7/18/2024,7/22/2024,,Not applicable,,Completed,Completed,Regular
11376,TAPIPM45494PM358,TAPI,Energy Sector,11/3/2024,Site Visit,Badakhshan,Shuhada,Badakhshan,CBE,7/19/2024,7/23/2024,,Not applicable,,Completed,Completed,Regular
8741,TAPIPM45495PM359,TAPI,Energy Sector,11/3/2024,Site Visit,Badakhshan,Jorm,Badakhshan,School,7/20/2024,7/24/2024,,Not applicable,,Completed,Completed,Regular
8323,TAPIPM45496PM360,TAPI,Energy Sector,11/3/2024,Site Visit,Jawzjan,Darzab,Jawzjan,Village,7/21/2024,7/25/2024,,Not Applicable,,Completed,Completed,Regular
9162,TAPIPM45497PM361,TAPI,Energy Sector,11/3/2024,Site Visit,Daykundi,Shahrestan,Daykundi,School,7/22/2024,7/26/2024,,Not applicable,,Cancelled,Cancelled,Regular
10188,TAPIPM45498PM362,TAPI,Energy Sector,11/3/2024,Site Visit,Nangarhar,Kama,Nangarhar,School,7/23/2024,7/27/2024,,Not applicable,,Completed,Completed,Regular
10156,TAPIPM45499PM363,TAPI,Energy Sector,11/3/2024,Site Visit,Nangarhar,Bati Kot,Nangarhar,School,7/24/2024,7/28/2024,,Not applicable,,Completed,Completed,Regular
3872,TAPIPM45500PM364,TAPI,Energy Sector,11/3/2024,Site Visit,Nuristan,Duab,Nuristan,CBE,7/25/2024,7/29/2024,,Not applicable,,Completed,Completed,Regular
4179,TAPIPM45501PM365,TAPI,Energy Sector,11/3/2024,Site Visit,Parwan,Ghorband,Parwan,DISTRICT,7/26/2024,7/30/2024,,Not applicable,,Completed,Completed,Regular
9644,TAPIPM45502PM366,TAPI,Energy Sector,12/29/2024,Site Visit,Jawzjan,Qarqin,Jawzjan,School,7/27/2024,7/31/2024,,Not applicable,,Cancelled,Cancelled,Regular
9381,TAPIPM45503PM367,TAPI,Energy Sector,12/29/2024,Site Visit,Ghor,Feroz Koh,Ghor,School,7/28/2024,8/1/2024,,Not applicable,,Completed,Completed,Regular
5295,TAPIPM45504PM368,TAPI,Energy Sector,12/29/2024,Site Visit,Badghis,Ab Kamari,Badghis,School,7/29/2024,8/2/2024,,Not applicable,,Completed,Completed,Regular
3698,TAPIPM45505PM369,TAPI,Energy Sector,12/29/2024,Site Visit,Kabul,Chahar Asyab,Kabul,CBE,7/30/2024,8/3/2024,,Not applicable,,Completed,Completed,Regular
7106,TAPIPM45506PM370,TAPI,Energy Sector,12/29/2024,Site Visit,Kandahar,Daman,Kandahar,School,7/31/2024,8/4/2024,,Not Applicable,2/24/2024,Completed,Completed,Regular
9601,TAPIPM45507PM371,TAPI,Energy Sector,12/29/2024,Site Visit,Hirat,,,School,8/1/2024,8/5/2024,,Not applicable,,Cancelled,Cancelled,Regular
9878,TAPIPM45508PM372,TAPI,Energy Sector,12/29/2024,Site Visit,Khost,Shamal,Khost,School,8/2/2024,8/6/2024,,Not applicable,,Completed,Completed,Regular
5231,TAPIPM45509PM373,TAPI,Energy Sector,12/29/2024,Site Visit,Faryab,Pashtun Kot,Faryab,School,8/3/2024,8/7/2024,,Not applicable,,Completed,Completed,Regular
9181,TAPIPM45510PM374,TAPI,Energy Sector,12/29/2024,Site Visit,Farah,Khak-e-Safed,Farah,School,8/4/2024,8/8/2024,,Not applicable,,Cancelled,Cancelled,Regular
10070,TAPIPM45511PM375,TAPI,Energy Sector,12/29/2024,Site Visit,Logar,Mohammad Agha,Logar,School,8/5/2024,8/9/2024,,Not applicable,,Completed,Completed,Regular
4398,TAPIPM45512PM376,TAPI,Energy Sector,12/29/2024,Site Visit,Kabul,Kabul,Kabul,School,8/6/2024,8/10/2024,,Not applicable,,Completed,Completed,Regular
3580,TAPIPM45513PM377,TAPI,Energy Sector,12/29/2024,Site Visit,Ghazni,Andar,Ghazni,CBE,8/7/2024,8/11/2024,,Not applicable,,Completed,Completed,Regular
9449,TAPIPM45514PM378,TAPI,Energy Sector,12/29/2024,Site Visit,Ghor,Tolak,Ghor,School,8/8/2024,8/12/2024,,Not applicable,,Cancelled,Cancelled,Regular
5173,TAPIPM45515PM379,TAPI,Energy Sector,12/29/2024,Site Visit,Uruzgan,Gizab,Uruzgan,School,8/9/2024,8/13/2024,,Not applicable,,Completed,Completed,Regular
9094,TAPIPM45516PM380,TAPI,Energy Sector,12/29/2024,Site Visit,Bamyan,Yakawlang,Bamyan,School,8/10/2024,8/14/2024,,Not applicable,,Completed,Completed,Regular
11426,TAPIPM45517PM381,TAPI,Energy Sector,12/29/2024,Site Visit,Kandahar,Spin Boldak,Kandahar,School,8/11/2024,8/15/2024,,Planned,,Not applicable,Planned,Regular
10326,TAPIPM45518PM382,TAPI,Energy Sector,12/29/2024,Site Visit,Paktika,Yosuf Khel,Paktika,School,8/12/2024,8/16/2024,,Not applicable,,Completed,Completed,Regular
7109,TAPIPM45519PM383,TAPI,Energy Sector,12/29/2024,Site Visit,Kandahar,Kandahar,Kandahar,School,8/13/2024,8/17/2024,,Not Applicable,,Cancelled,Cancelled,Regular
8302,TAPIPM45520PM384,TAPI,Energy Sector,12/29/2024,Site Visit,Jawzjan,,,Village,8/14/2024,8/18/2024,,Not Applicable,,Completed,Completed,Regular
4296,TAPIPM45521PM385,TAPI,Energy Sector,12/29/2024,Site Visit,Nangarhar,Khogyani,Nangarhar,School,8/15/2024,8/19/2024,,Not applicable,,Completed,Completed,Regular
3432,TAPIPM45522PM386,TAPI,Energy Sector,12/29/2024,Site Visit,Ghazni,Muqur,Ghazni,School,8/16/2024,8/20/2024,,Completed,11/11/2023,Not applicable,Completed,Regular
8322,TAPIPM45523PM387,TAPI,Energy Sector,12/29/2024,Site Visit,Jawzjan,Khanaqa,Jawzjan,Village,8/17/2024,8/21/2024,,Not Applicable,,Completed,Completed,Regular
10430,TAPIPM45524PM388,TAPI,Energy Sector,12/29/2024,Site Visit,Parwan,Koh-e-Safi,Parwan,School,8/18/2024,8/22/2024,,Not applicable,,Completed,Completed,Regular
3505,TAPIPM45525PM389,TAPI,Energy Sector,12/29/2024,Site Visit,Baghlan,Pul-e-Khumri,Baghlan,CBE,8/19/2024,8/23/2024,,Not applicable,,Completed,Completed,Regular
4436,TAPIPM45526PM390,TAPI,Energy Sector,12/29/2024,Site Visit,Parwan,Charikar,Parwan,School,8/20/2024,8/24/2024,,Not applicable,,Completed,Completed,Regular
11356,TAPIPM45527PM391,TAPI,Energy Sector,12/29/2024,Site Visit,Kabul,Musahi,Kabul,CBE,8/21/2024,8/25/2024,,Not applicable,,Completed,Completed,Regular
3569,TAPIPM45528PM392,TAPI,Energy Sector,12/29/2024,Site Visit,Farah,Lash-e-Juwayn,Farah,CBE,8/22/2024,8/26/2024,,Not applicable,,Completed,Completed,Regular
8879,TAPIPM45529PM393,TAPI,Energy Sector,12/29/2024,Site Visit,Badghis,Qala-e-Naw,Badghis,School,8/23/2024,8/27/2024,,Not applicable,,Completed,Completed,Regular
10689,TAPIPM45530PM394,TAPI,Energy Sector,12/29/2024,Site Visit,Hirat,Adraskan,Hirat,School,8/24/2024,8/28/2024,,Not applicable,,Completed,Completed,Regular
10611,TAPIPM45531PM395,TAPI,Energy Sector,12/29/2024,Site Visit,Takhar,Taloqan,Takhar,School,8/25/2024,8/29/2024,,Not applicable,,Completed,Completed,Regular
5320,TAPIPM45532PM396,TAPI,Energy Sector,12/29/2024,Site Visit,Badghis,Ghormach,Badghis,School,8/26/2024,8/30/2024,,Not applicable,,Completed,Completed,Regular
8778,TAPIPM45533PM397,TAPI,Energy Sector,12/29/2024,Site Visit,Badakhshan,Shahr-e-Buzorg,Badakhshan,School,8/27/2024,8/31/2024,,Not applicable,,Cancelled,Cancelled,Regular
7286,TAPIPM45534PM398,TAPI,Energy Sector,12/29/2024,Site Visit,Laghman,Baadpukh,Laghman,School,8/28/2024,9/1/2024,,Not Applicable,3/10/2024,Completed,Completed,Regular
8858,TAPIPM45535PM399,TAPI,Energy Sector,12/29/2024,Site Visit,Badghis,Qadis,Badghis,School,8/29/2024,9/2/2024,,Not applicable,,Cancelled,Cancelled,Regular
4727,TAPIPM45536PM400,TAPI,Energy Sector,12/29/2024,Site Visit,Paktya,Zurmat,Paktya,School,8/30/2024,9/3/2024,,Not applicable,,Completed,Completed,Regular
4784,TAPIPM45537PM401,TAPI,Energy Sector,12/29/2024,Site Visit,Nuristan,Parun,Nuristan,School,8/31/2024,9/4/2024,,Not applicable,,Completed,Completed,Regular
7187,TAPIPM45538PM402,TAPI,Energy Sector,12/29/2024,Site Visit,Kunar,Chawkay,Kunar,School,9/1/2024,9/5/2024,,Not Applicable,,Cancelled,Cancelled,Regular
4309,TAPIPM45539PM403,TAPI,Energy Sector,12/29/2024,Site Visit,Nangarhar,Rodat,Nangarhar,School,9/2/2024,9/6/2024,,Not applicable,,Completed,Completed,Regular
3896,TAPIPM45540PM404,TAPI,Energy Sector,12/29/2024,Site Visit,Paktya,Ahmadaba,Paktya,CBE,9/3/2024,9/7/2024,,Not applicable,,Completed,Completed,Regular
10276,TAPIPM45541PM405,TAPI,Energy Sector,12/29/2024,Site Visit,Nuristan,Waygal,Nuristan,School,9/4/2024,9/8/2024,,Not applicable,,Completed,Completed,Regular
7094,TAPIPM45542PM406,TAPI,Energy Sector,12/29/2024,Site Visit,Kandahar,Arghandab,Kandahar,School,9/5/2024,9/9/2024,,Not Applicable,,Cancelled,Cancelled,Regular
10681,TAPIPM45543PM407,TAPI,Energy Sector,12/29/2024,Site Visit,Faryab,Andkhoy,Faryab,School,9/6/2024,9/10/2024,,Not applicable,,Completed,Completed,Regular
4077,TAPIPM45544PM408,TAPI,Energy Sector,12/29/2024,Site Visit,Daykundi,Shahrestan,Daykundi,DISTRICT,9/7/2024,9/11/2024,,Not applicable,,Completed,Completed,Regular
10013,TAPIPM45545PM409,TAPI,Energy Sector,12/29/2024,Site Visit,Kunduz,Kunduz,Kunduz,School,9/8/2024,9/12/2024,,Not applicable,,Cancelled,Cancelled,Regular
9593,TAPIPM45546PM410,TAPI,Energy Sector,12/29/2024,Site Visit,Hirat,,,School,9/9/2024,9/13/2024,,Not applicable,,Cancelled,Cancelled,Regular
7677,TAPIPM45547PM411,TAPI,Energy Sector,1/12/2025,Site Visit,Farah,Lash-e-Juwayn,Farah,CBE,9/10/2024,9/14/2024,,Not Applicable,,Cancelled,Cancelled,Regular
9522,TAPIPM45548PM412,TAPI,Energy Sector,1/12/2025,Site Visit,Hirat,Guzara,Hirat,School,9/11/2024,9/15/2024,,Not applicable,,Completed,Completed,Regular
4199,TAPIPM45549PM413,TAPI,Energy Sector,1/12/2025,Site Visit,Bamyan,Bamyan,Bamyan,CBE,9/12/2024,9/16/2024,,Not applicable,,Completed,Completed,Regular
4224,TAPIPM45550PM414,TAPI,Energy Sector,1/12/2025,Site Visit,Kunar,Dangam,Kunar,School,9/13/2024,9/17/2024,,Not applicable,,Completed,Completed,Regular
4958,TAPIPM45551PM415,TAPI,Energy Sector,1/12/2025,Site Visit,Samangan,Ruy-e-Duab,Samangan,School,9/14/2024,9/18/2024,,Not applicable,,Completed,Completed,Regular
4746,TAPIPM45552PM416,TAPI,Energy Sector,1/12/2025,Site Visit,Paktya,Dand Wa Patan,Paktya,School,9/15/2024,9/19/2024,,Not applicable,,Completed,Completed,Regular
10175,TAPIPM45553PM417,TAPI,Energy Sector,1/12/2025,Site Visit,Nangarhar,Dur Baba,Nangarhar,School,9/16/2024,9/20/2024,,Not applicable,,Completed,Completed,Regular
10029,TAPIPM45554PM418,TAPI,Energy Sector,1/12/2025,Site Visit,Laghman,Alishang,Laghman,School,9/17/2024,9/21/2024,,Not applicable,,Completed,Completed,Regular
7548,TAPIPM45555PM419,TAPI,Energy Sector,1/12/2025,Site Visit,Nangarhar,Shinwar,Nangarhar,School,9/18/2024,9/22/2024,,Not Applicable,3/10/2024,Completed,Completed,Regular
6853,TAPIPM45556PM420,TAPI,Energy Sector,1/12/2025,Site Visit,Farah,Farah,Farah,School,9/19/2024,9/23/2024,,Not Applicable,,Cancelled,Cancelled,Regular
4922,TAPIPM45557PM421,TAPI,Energy Sector,1/12/2025,Site Visit,Kunduz,Ali Abad,Kunduz,School,9/20/2024,9/24/2024,,Not applicable,,Completed,Completed,Regular
9697,TAPIPM45558PM422,TAPI,Energy Sector,1/12/2025,Site Visit,Kabul,Kabul,Kabul,School,9/21/2024,9/25/2024,,Not applicable,,Completed,Completed,Regular
10030,TAPIPM45559PM423,TAPI,Energy Sector,1/12/2025,Site Visit,Laghman,Alishang,Laghman,School,9/22/2024,9/26/2024,,Not applicable,,Completed,Completed,Regular
4860,TAPIPM45560PM424,TAPI,Energy Sector,1/12/2025,Site Visit,Badakhshan,Darwaz-e-Balla,Badakhshan,School,9/23/2024,9/27/2024,,Not applicable,,Completed,Completed,Regular
